Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
WINDSCREEN WASHER BOTTLE CAP LID FOR CITROEN AX BX ZX DS3 DISPATCH 643230,1.85,183742339475,29 sold,INSUPPA,643230,"6432.30, 643230, 1475306080, 71711242, 9624530780, 9637915780, 642753680",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
WINDSCREEN WASHER BOTTLE CAP LID FOR PEUGEOT 607 806 PARTNER 643230,1.85,183742337771,40 sold,INSUPPA,643230,"6432.30, 643230, 1475306080, 71711242, 9624530780, 9637915780, 642753680",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
FORD MONDEO MK4 2007 ONWARDS RADIATOR MOUNTING BUSH 6G918125AD-1508176,1.99,184589378563,N/A,INSUPPA,INS-1508176,"1508176, 6G918125AD, 6G91-8125-AB, 6G918125AB, 6G91 8125 AB, 6G91-8125-AD, 6G91 8125 AD, 31261718",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.9400000000000008&_udhi=1.9900000000000009&_sop=2&_ipg=200
WINDSCREEN WASHER BOTTLE CAP LID FOR PEUGEOT 1007 106 205 206 306 405 406 643230,1.85,183742336069,206 sold,INSUPPA,643230,"6432.30, 643230, 1475306080, 71711242, 9624530780, 9637915780, 642753680",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
WINDSCREEN WASHER BOTTLE CAP LID FOR CITROEN BERLINGO C2 C3 C5 SAXO XSARA 643230,1.85,183742330529,182 sold,INSUPPA,643230,"643230, 6432.30, 1475306080, 71711242, 9624530780, 9637915780, 9642753680",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
10X VAUXHALL/OPEL FORD DOOR TRIM PANEL PLASTIC CLIPS 2345957,1.85,182285989157,34 sold,INSUPPA,INS-90321122,"2345957, 90321122",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
2X ENGINE BONNET PROP ROD CLIP FOR VAUXHALL/OPEL ASTRA MK4 - ZAFIRA A 1180216,1.85,183382091441,94 sold,INSUPPA,INS-1180061,"1180216, 90246867, 90589222, 1180061",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
VAUXHALL/OPEL TIGRA B [2003-2008] ZAFIRA A BONNET STAY CLIP ARM ROD PROP 1180181,1.85,183662008646,233 sold,INSUPPA,INS-1180181,"09114314, 1180181, 9114314",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.8400000000000007&_udhi=1.8900000000000008&_sop=2&_ipg=200
WINDSCREEN WASHER BOTTLE CAP LID FOR PEUGEOT 1007 106 205 206 306 405 406 643230,1.85,183742336069,206 sold,INSUPPA,643230,"6432.30, 643230, 1475306080, 71711242, 9624530780, 9637915780, 642753680",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.7900000000000007&_udhi=1.8400000000000007&_sop=2&_ipg=200
1X DOOR LOCKING PIN KNOB FOR SEAT TOLEDO VW TRANSPORTER T4 PASSAT 357837187,1.99,183967265079,12 sold,INSUPPA,7D0837187,"35783718701C, 357 837 187 01C, 357837187",N/A,https://www.ebay.co.uk/sch/insuppa-trading/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=1.9400000000000008&_udhi=1.9900000000000009&_sop=2&_ipg=200
